"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjP","Pathway","DEgenesInCat"
"11","R-HSA-500792","0","1","105","450","0","GPCR ligand binding","LPAR6::CALCRL::RAMP2::RAMP1::RAMP3::CYSLTR1::NPFFR2::UTS2::HRH3::ADCYAP1::CCR7::CCR8::CMKLR1::PROKR2::ADM::ADORA2B::ADRA1B::ADRA2A::ADRA2C::CX3CR1::ADRB2::DRD1::AGTR1::S1PR1::LPAR1::EDN1::EDNRB::ADGRE1::LPAR3::FPR1::FZD2::GABBR1::UTS2B::TAS2R46::HCAR1::C5AR2::P2RY10::GNG10::GNG11::GNGT2::GPR17::FFAR2::GRM3::GRM4::GRM8::CXCL1::CXCL2::CXCL3::GRPR::ANXA1::HRH1::HTR1D::HTR2C::HTR4::IAPP::HCAR2::CXCL8::KISS1::NPSR1::MC4R::MTNR1A::NMBR::NPY1R::NPY5R::NTS::OXTR::P2RY2::WNT16::S1PR5::GNG2::WNT4::PLPPR1::AVPR1A::NPY4R::LPAR5::PTGFR::PTH1R::SAA1::CCL17::CCL20::CXCL11::CXCL5::XCL1::CXCL12::SMO::TBXA2R::C3::TRH::VIPR1::WNT6::WNT7A::XK::CXCR4::PLPPR3::WNT10A::FZD6::FZD7::FZD8::QRFPR::CASR::HCAR3::F2RL3::GLP2R::ADGRE5::PLPPR4"
"12","R-HSA-8874081","0","1","21","30","0","MET activates PTK2 signaling","LAMC3::COL1A1::COL1A2::COL3A1::COL5A1::COL5A2::COL11A1::FN1::LAMA1::ITGA3::ITGB1::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::MET::SRC::COL27A1"
"13","R-HSA-1566948","0","1","25","45","0","Elastic fibre formation","FBLN2::FBN1::FBN2::EFEMP1::FN1::BMP10::EFEMP2::ITGA5::ITGB1::ITGB3::ITGB8::LOX::LOXL1::LOXL2::LTBP2::LTBP3::MFAP2::BMP2::TGFB1::TGFB2::TGFB3::VTN::MFAP5::EMILIN2::FBN3"
"14","R-HSA-1442490","0","1","29","62","0","Collagen degradation","COL1A1::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::COL5A1::COL5A2::COL6A1::COL6A2::COL8A1::COL8A2::COL9A1::COL9A3::COL11A1::COL12A1::COL13A1::COL15A1::COL16A1::COL17A1::COL19A1::COL26A1::MMP2::MMP9::MMP14::COL18A1"
"15","R-HSA-2129379","0","1","21","38","0","Molecules associated with elastic fibres","FBLN2::FBN1::FBN2::EFEMP1::FN1::BMP10::EFEMP2::ITGB1::ITGB3::ITGB8::LTBP2::LTBP3::MFAP2::BMP2::TGFB1::TGFB2::TGFB3::VTN::MFAP5::EMILIN2::FBN3"
"16","R-HSA-202733","0","1","44","136","0","Cell surface interactions at the vascular wall","CEACAM5::PROCR::CEACAM3::COL1A1::COL1A2::FN1::FYN::GAS6::ANGPT1::ITGA6::ITGA3::ITGA4::ITGA5::ITGB1::ITGB2::ITGB3::L1CAM::LCK::LYN::PSG8::CEACAM6::OLR1::PROS1::SLC7A10::PSG1::PSG2::PSG3::PSG4::PSG5::PSG6::PSG7::PSG9::PSG11::CD177::SELP::SLC16A1::SRC::TEK::TGFB1::CAV1::TNFRSF10D::SLC7A7::SLC16A3::CD44"
"17","R-HSA-8875878","0","1","22","41","0","MET promotes cell motility","LAMC3::COL1A1::COL1A2::COL3A1::COL5A1::COL5A2::COL11A1::FN1::LAMA1::ITGA3::ITGB1::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::MET::TNS3::SRC::COL27A1"
"18","R-HSA-373076","0","1","73","318","0","Class A 1 (Rhodopsin-like receptors)","LPAR6::CYSLTR1::NPFFR2::UTS2::HRH3::CCR7::CCR8::CMKLR1::PROKR2::ADORA2B::ADRA1B::ADRA2A::ADRA2C::CX3CR1::ADRB2::DRD1::AGTR1::S1PR1::LPAR1::EDN1::EDNRB::LPAR3::FPR1::UTS2B::HCAR1::C5AR2::P2RY10::GPR17::FFAR2::CXCL1::CXCL2::CXCL3::GRPR::ANXA1::HRH1::HTR1D::HTR2C::HTR4::HCAR2::CXCL8::KISS1::NPSR1::MC4R::MTNR1A::NMBR::NPY1R::NPY5R::NTS::OXTR::P2RY2::S1PR5::PLPPR1::AVPR1A::NPY4R::LPAR5::PTGFR::SAA1::CCL17::CCL20::CXCL11::CXCL5::XCL1::CXCL12::TBXA2R::C3::TRH::XK::CXCR4::PLPPR3::QRFPR::HCAR3::F2RL3::PLPPR4"
"19","R-HSA-2214320","0","1","12","15","0","Anchoring fibril formation","COL1A1::COL1A2::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::LAMA3::LAMB3::LAMC2::TLL1"
"20","R-HSA-109582","0","1","124","605","0","Hemostasis","ABCC4::TUBB3::TUBB4A::CEACAM5::PROCR::PDPN::CEACAM3::SERPINA3::COL1A1::COL1A2::CD109::KLC3::ADRA2A::ADRA2C::DGKA::DGKB::F3::F7::FGB::FGG::P2RX2::FLNA::FN1::ZFPM2::FYN::KIF26A::GAS6::GATA4::KCNMB4::GNA15::GNG10::GNG11::GNGT2::ANGPT1::ANXA2::EHD2::HRG::APOA1::IFNA1::TUBB2B::IGF2::ITGA6::ISLR::ITGA1::ITGA3::ITGA4::ITGA5::ITGB1::ITGB2::ITGB3::KIF3C::KIF5A::KLKB1::L1CAM::LCK::LYN::ARRB1::PSG8::MYB::CEACAM6::NFE2::NOS2::ATP2A3::OLR1::P2RX5::SERPINE1::SERPINE2::PLA2G4A::PLAT::PLAU::PLAUR::SERPINF2::GNG2::APBB1IP::KIF1A::KIF26B::SRGN::PRKCA::PRKCH::PRKG2::PROS1::SLC7A10::PSG1::PSG2::PSG3::PSG4::PSG5::PSG6::PSG7::PSG9::PSG11::CD177::RAB27B::RAC2::SELP::SELENOP::SLC8A1::SLC16A1::SPARC::SRC::TBXA2R::TEK::TFPI::TGFB1::TGFB2::TGFB3::THBS1::TIMP1::TIMP3::SERPING1::CLEC3B::TRPC3::VAV1::TUBAL3::TUBB6::CAV1::TNFRSF10D::F2RL3::SLC7A7::KIFC2::SLC16A3::P2RX6::CD44::GNA14"
"21","R-HSA-5083635","0","1","19","36","0","Defective B3GALTL causes Peters-plus syndrome (PpS)","ADAMTS8::ADAMTS5::ADAMTS7::ADAMTS6::ADAMTS14::ADAMTS16::ADAMTS18::ADAMTS19::SSPO::ADAMTSL4::ADAMTS9::THBS1::ADAMTS20::ADAMTS12::ADAMTS10::ADAMTSL1::ADAMTS3::ADAMTS1::ADAMTSL2"
"22","R-HSA-5173105","0","1","37","109","0","O-linked glycosylation","CHST4::B3GNT3::ST6GALNAC2::ADAMTS8::ADAMTS5::ADAMTS7::ADAMTS6::MUCL1::ADAMTS14::ADAMTS16::ADAMTS18::ADAMTS19::SSPO::ST6GALNAC3::ST6GALNAC4::MUC19::GALNTL6::MUC4::A4GNT::GCNT4::ADAMTSL4::MUC13::ADAMTS9::THBS1::MUC5B::ADAMTS20::ADAMTS12::ADAMTS10::B3GNT5::LARGE1::ADAMTSL1::B3GNT7::B4GALT6::MUC16::ADAMTS3::ADAMTS1::ADAMTSL2"
"23","R-HSA-5173214","0","1","19","37","0","O-glycosylation of TSR domain-containing proteins","ADAMTS8::ADAMTS5::ADAMTS7::ADAMTS6::ADAMTS14::ADAMTS16::ADAMTS18::ADAMTS19::SSPO::ADAMTSL4::ADAMTS9::THBS1::ADAMTS20::ADAMTS12::ADAMTS10::ADAMTSL1::ADAMTS3::ADAMTS1::ADAMTSL2"
"24","R-HSA-381426","0","1","39","125","0","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","CDH2::MSLN::FSTL3::FSTL1::MGAT4A::CSF1::VCAN::NOTUM::FBN1::FGG::FN1::PCSK9::GAS6::APOA1::APOA2::APOE::IGF2::IGFBP2::IGFBP3::IGFBP5::IGFBP6::IGFBP7::CCN1::IL6::LAMB1::LAMC1::LGALS1::AMTN::MATN3::MFGE8::MMP2::PAPPA::FAM20A::SPP1::TIMP1::C3::BPIFB2::EVA1A::CHRDL1"
"25","R-HSA-416476","0","1","54","215","0","G alpha (q) signalling events","LPAR6::CYSLTR1::NPFFR2::UTS2::ARHGEF25::PROKR2::ADRA1B::DGKA::DGKB::HBEGF::AGTR1::LPAR1::EDN1::EDNRB::EGFR::LPAR3::GAST::UTS2B::P2RY10::GNA15::GNG10::GNG11::GNGT2::GPR17::FFAR2::GRPR::ANXA1::HRH1::HTR2C::KISS1::NPSR1::NMBR::NTS::OXTR::P2RY2::GNG2::AVPR1A::PRKCA::PRKCH::LPAR5::PTGFR::RGS4::RGS16::SAA1::XCL1::RGS18::TBXA2R::TRH::TRPC3::QRFPR::CASR::KALRN::F2RL3::GNA14"
"26","R-HSA-3906995","0","1","26","67","0","Diseases associated with O-glycosylation of proteins","ADAMTS8::ADAMTS5::ADAMTS7::ADAMTS6::MUCL1::ADAMTS14::ADAMTS16::ADAMTS18::ADAMTS19::SSPO::MUC19::MUC4::ADAMTSL4::MUC13::ADAMTS9::THBS1::MUC5B::ADAMTS20::ADAMTS12::ADAMTS10::LARGE1::ADAMTSL1::MUC16::ADAMTS3::ADAMTS1::ADAMTSL2"
"27","R-HSA-2243919","0","1","12","18","0","Crosslinking of collagen fibrils","COL1A1::COL1A2::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL4A6::LOX::LOXL1::LOXL2::TLL1"
"28","R-HSA-8957275","0","1","34","108","0","Post-translational protein phosphorylation","CDH2::MSLN::FSTL3::FSTL1::MGAT4A::CSF1::VCAN::NOTUM::FBN1::FGG::FN1::PCSK9::GAS6::APOA1::APOA2::APOE::IGFBP3::IGFBP5::IGFBP7::CCN1::IL6::LAMB1::LAMC1::LGALS1::AMTN::MATN3::MFGE8::FAM20A::SPP1::TIMP1::C3::BPIFB2::EVA1A::CHRDL1"
"29","R-HSA-3000170","0","1","15","27","0","Syndecan interactions","COL1A1::COL1A2::COL3A1::COL5A1::COL5A2::FGF2::FN1::ITGA6::ITGB1::ITGB3::ITGB4::PRKCA::TGFB1::THBS1::VTN"
"30","R-HSA-446728","0","1","30","90","1e-04","Cell junction organization","CDH2::CDH3::CDH6::CDH7::CDH11::CDH13::CDH18::CLDN16::COL17A1::CLDN4::CLDN3::FLNA::FLNC::CADM1::NECTIN3::ITGA6::ITGB1::ITGB4::LAMA3::LAMB3::LAMC2::CLDN11::FBLIM1::LIMS2::PVR::NECTIN4::CLDN10::CLDN8::CLDN6::CLDN1"
"31","R-HSA-397014","0","1","52","208","1e-04","Muscle contraction","SORBS3::MYL9::FGF13::FGF14::FKBP1B::KCNE5::LMOD1::WWTR1::GATA4::TMOD2::ANXA1::ANXA2::KCNIP3::KCNIP1::ITGA1::KCND3::KCNJ2::KCNJ4::KCNJ11::KCNJ12::MYL2::MYL3::MYL4::MYLK::NPR1::NPR2::ATP2A3::FXYD1::FXYD3::FXYD7::FXYD6::ACTA2::CACNG7::CACNG6::SCN1B::SCN2A::SCN3A::SCN5A::SCN9A::SLC8A1::TNNC1::TNNT1::TPM2::TRPC1::VIM::CACNA1D::CACNA2D1::CACNB1::CALD1::CAMK2A::DYSF::CAV3"
"32","R-HSA-162582","0","1","400","2653","7e-04","Signal Transduction","AKT3::FRAT1::ARHGEF33::LPAR6::CALCRL::SPRY2::RAMP2::RAMP1::RAMP3::FSTL3::LAMC3::TUBB3::TUBB4A::DLC1::MYL9::FST::CDC42EP3::ADCY1::NRG3::IQGAP2::ADCY2::CFTR::CYSLTR1::WASF3::NOXA1::NPFFR2::UTS2::FSTL1::WIF1::CHN1::GPR176::HRH3::ADCY7::FMNL2::RHPN1::ARHGEF25::ADCYAP1::LRRK2::SDR9C7::CCR7::CCR8::CMKLR1::COL1A1::COL1A2::COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::PROKR2::COL4A5::COL5A1::COL5A2::COL6A1::COL6A2::COL9A1::COL9A3::COL11A1::EVC2::ADM::ADORA2B::CRABP1::CSF2::CSF2RA::ARHGAP42::PRICKLE1::ADRA1B::NOTUM::KLC3::ADRA2A::PLB1::ADRA2C::CX3CR1::ADRB2::AMOTL1::ARHGAP36::AWAT2::CYP26A1::DGKA::DGKB::RHOV::DIAPH2::DNM1::DYNC1I1::DRD1::JAG1::HBEGF::DTX1::DUSP4::AGTR1::DUSP9::S1PR1::LPAR1::EDN1::EDNRB::EGFR::SDR16C5::ELF3::ADGRE1::ESR1::FABP5::FABP6::ALDH1A3::FGD2::FGB::FGF1::FGF2::FGF5::FGG::CNKSR2::DZIP1::DKK1::HECW1::FLNA::KANK1::FLT4::FN1::GPR161::LPAR3::FPR1::FLRT2::ARHGAP8::ATP6V0D2::NR5A2::GAST::FYN::FZD2::GABBR1::GABRA1::GABRG3::UTS2B::RASGRP3::TAS2R46::WWTR1::PYGO1::TIAM2::FGF20::OR10A3::GDNF::BEX3::HCAR1::C5AR2::BMP10::P2RY10::GLI2::GLI3::GNA15::GNG10::GNG11::GNGT2::GPR15::ANGPT1::GPR17::LAMA1::GPR20::FFAR2::GRIN1::GRM3::GRM4::GRM8::CXCL1::CXCL2::CXCL3::GRPR::GUCY2D::ANXA1::NRG1::FOXA1::HRH1::HES1::BIRC3::HSPB1::HSPG2::APOA1::HTR1D::HTR2C::APOA2::HTR4::IAPP::HCAR2::APOC1::APOC4::TUBB2B::APOE::IGF2::IL1RAP::IL6::CXCL8::INHBA::INHBB::AR::ITGA3::ITGB1::ITGB3::KIF7::KIF5A::KISS1::KIT::NPSR1::OR5AU1::LAMA2::LAMA3::LAMA4::LAMB1::LAMB3::LAMC1::LAMC2::LCK::LEPR::RHOH::LRP1::LRP2::LYN::ARRB1::SMAD9::MC4R::MCF2::MEF2C::MET::MMP2::MMP9::CITED1::ARHGEF35::MST1R::MTNR1A::MYB::MYLK::NCF2::NGF::NGFR::NMBR::NPY1R::NPY5R::ATP2A3::NTF3::NTF4::ROR1::ROR2::NTS::OR1F1::OR3A2::OXTR::P2RY2::SERPINE1::ARHGEF4::SOST::REEP2::DACT1::PDE1C::WNT16::PDE3A::PDE4A::EVL::PDE6B::PDGFRB::PGF::PGR::PIK3CD::PLA2G4A::PLAT::PLTP::S1PR5::GNG2::WNT4::APBB1IP::ARHGEF38::PLPPR1::IFT57::AVPR1A::NPY4R::SMPD3::H2AJ::PRKCA::AXL::PRKCH::PRKG2::PDGFC::PSMB8::AKR1B10::LPAR5::VANGL2::PTGFR::RHOJ::PTH1R::ARHGAP31::PREX1::RHOU::ARHGAP22::RAC2::RAG1::ACTA2::RBP1::BCL2::RET::RGS4::RGS16::RXRG::BDNF::S100A8::SAA1::CCL17::CCL20::CXCL11::CXCL5::XCL1::CXCL12::GPSM3::SFRP1::STRA6::HHIP::RGS18::ARAP3::SMURF2::TNS3::PLEKHG2::BMP2::SNAI2::SMO::SOX2::SOX3::SPARC::SPP1::SRC::SRMS::TBXA2R::TCF7::TEK::TFF1::TFF3::TGFB1::TGFBR2::THBS1::TIAM1::TLE4::TNFAIP3::C3::TRH::TRPC3::VAV1::VIPR1::WIPF1::WNT6::WNT7A::XK::CXCR4::DYNC2H1::TUBAL3::PLPPR3::PREX2::WNT10A::ADAM12::WNT5B::CAMK4::CAMK2A::FZD6::FZD7::FZD8::SOX7::RTP3::PIP5K1B::QRFPR::PPP1R1B::MAML2::CASR::TUBB6::RSPO3::COL27A1::SYDE1::LGR5::CDC14B::CAV1::CAV2::RGS20::TNFSF10::RGS9::TNFRSF10D::NRP2::NRP1::HCAR3::ALDH1A2::KALRN::F2RL3::SH2D2A::NEURL1::DEPDC7::CHRDL1::NOG::GLP2R::KL::ARHGAP18::ACVRL1::ARHGAP29::PPP1R14A::ABCG1::GNA14::GREB1::STARD8::ADGRE5::PLPPR4::FGFBP1"
"33","R-HSA-419037","0","1","17","42","0.0015","NCAM1 interactions","COL3A1::COL4A1::COL4A2::COL4A3::COL4A4::COL4A5::COL5A1::COL5A2::COL6A1::COL6A2::COL9A1::COL9A3::GDNF::PRNP::CACNA1D::CACNB1::CACNA1H"
"34","R-HSA-1500931","0","1","34","128","0.0029","Cell-Cell communication","CDH2::CDH3::CDH6::CDH7::CDH11::CDH13::CDH18::CLDN16::COL17A1::CLDN4::CLDN3::FLNA::FLNC::CADM1::FYN::NECTIN3::ITGA6::ITGB1::ITGB4::LAMA3::LAMB3::LAMC2::CLDN11::FBLIM1::KIRREL1::LIMS2::PVR::SRC::NECTIN4::KIRREL2::CLDN10::CLDN8::CLDN6::CLDN1"
"35","R-HSA-373080","0","1","26","94","0.0029","Class B 2 (Secretin family receptors)","CALCRL::RAMP2::RAMP1::RAMP3::ADCYAP1::ADM::ADGRE1::FZD2::GNG10::GNG11::GNGT2::IAPP::WNT16::GNG2::WNT4::PTH1R::SMO::VIPR1::WNT6::WNT7A::WNT10A::FZD6::FZD7::FZD8::GLP2R::ADGRE5"
"36","R-HSA-75205","0","1","8","13","0.0029","Dissolution of Fibrin Clot","ANXA2::HRG::SERPINE1::SERPINE2::PLAT::PLAU::PLAUR::SERPINF2"
"37","R-HSA-6783783","0","1","15","41","0.0029","Interleukin-10 signaling","CSF1::CSF2::FPR1::CXCL1::CXCL2::ICAM1::IL1A::IL6::CXCL8::IL12B::IL18::LIF::PTGS2::CCL20::TIMP1"
"38","R-HSA-375276","0","1","41","188","0.0029","Peptide ligand-binding receptors","NPFFR2::UTS2::CCR7::CCR8::PROKR2::CX3CR1::AGTR1::EDN1::EDNRB::FPR1::UTS2B::C5AR2::CXCL1::CXCL2::CXCL3::GRPR::ANXA1::CXCL8::KISS1::NPSR1::MC4R::NMBR::NPY1R::NPY5R::NTS::OXTR::AVPR1A::NPY4R::SAA1::CCL17::CCL20::CXCL11::CXCL5::XCL1::CXCL12::C3::TRH::XK::CXCR4::QRFPR::F2RL3"
"39","R-HSA-76002","1e-04","1","56","257","0.0029","Platelet activation, signaling and aggregation","ABCC4::PDPN::SERPINA3::COL1A1::COL1A2::CD109::ADRA2A::ADRA2C::DGKA::DGKB::FGB::FGG::FLNA::FN1::FYN::GAS6::GNA15::GNG10::GNG11::GNGT2::HRG::APOA1::IGF2::ISLR::ITGB3::LCK::LYN::ARRB1::SERPINE1::PLA2G4A::SERPINF2::GNG2::APBB1IP::SRGN::PRKCA::PRKCH::PROS1::RAB27B::RAC2::SELP::SELENOP::SPARC::SRC::TBXA2R::TGFB1::TGFB2::TGFB3::THBS1::TIMP1::TIMP3::SERPING1::CLEC3B::TRPC3::VAV1::F2RL3::GNA14"
"40","R-HSA-6785807","1e-04","1","29","108","0.0034","Interleukin-4 and Interleukin-13 signaling","BATF::COL1A2::S1PR1::FGF2::FN1::ANXA1::ICAM1::IL1A::IL6::CXCL8::IL12B::IL18::ITGB1::ITGB2::LIF::MMP2::MMP9::NOS2::PTGS2::RHOU::BCL2::RORC::SAA1::FSCN1::SOX2::ZEB1::TGFB1::TIMP1::VIM"
"41","R-HSA-418594","1e-04","0.9999","74","390","0.0059","G alpha (i) signalling events","ADCY1::ADCY2::HRH3::ADCY7::SDR9C7::CCR7::CCR8::ADRA2A::PLB1::ADRA2C::CX3CR1::AWAT2::S1PR1::LPAR1::LPAR3::FPR1::GABBR1::TAS2R46::HCAR1::GNG10::GNG11::GNGT2::GPR17::GRM3::GRM4::GRM8::CXCL1::CXCL2::CXCL3::GUCY2D::ANXA1::HSPG2::APOA1::HTR1D::APOA2::HCAR2::APOE::CXCL8::LRP1::LRP2::MTNR1A::NPY1R::NPY5R::PDE1C::PDE4A::PDE6B::PLA2G4A::S1PR5::GNG2::NPY4R::PRKCA::AKR1B10::LPAR5::RBP1::RGS4::RGS16::SAA1::CCL20::CXCL11::CXCL5::CXCL12::GPSM3::STRA6::RGS18::SRC::C3::CXCR4::CAMK4::CAMK2A::PPP1R1B::CASR::RGS20::RGS9::HCAR3"
"42","R-HSA-3781865","1e-04","1","36","142","0.0059","Diseases of glycosylation","KERA::ADAMTS8::ADAMTS5::ADAMTS7::ADAMTS6::MUCL1::ADAMTS14::VCAN::CSPG4::DCN::ADAMTS16::ADAMTS18::ADAMTS19::SLC26A2::EXT1::SSPO::MUC19::HSPG2::MUC4::ADAMTSL4::PRELP::MUC13::ADAMTS9::BGN::THBS1::MUC5B::ADAMTS20::ADAMTS12::ADAMTS10::LARGE1::ADAMTSL1::MUC16::CHST3::ADAMTS3::ADAMTS1::ADAMTSL2"
"43","R-HSA-419408","1e-04","1","8","14","0.0072","Lysosphingolipid and LPA receptors","S1PR1::LPAR1::LPAR3::S1PR5::PLPPR1::LPAR5::PLPPR3::PLPPR4"
"44","R-HSA-373760","2e-04","0.9999","31","117","0.0078","L1CAM interactions","TUBB3::TUBB4A::DCX::DNM1::EGFR::ALCAM::GAP43::RPS6KA6::LAMA1::ANK2::TUBB2B::ITGA1::ITGA5::ITGB1::ITGB3::KCNQ3::L1CAM::LAMB1::LAMC1::MSN::SCN1B::SCN2A::SCN3A::SCN5A::SCN9A::SRC::TUBAL3::TUBB6::CNTNAP1::NRP2::NRP1"
"45","R-HSA-1296065","3e-04","0.9999","12","31","0.0125","Inwardly rectifying K+ channels","GABBR1::GNG10::GNGT2::KCNJ2::KCNJ3::KCNJ4::KCNJ8::KCNJ11::KCNJ12::KCNJ15::KCNJ16::GNG2"
"46","R-HSA-2473224","3e-04","1","4","4","0.0125","Antagonism of Activin by Follistatin","FSTL3::FST::INHBA::INHBB"
