"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjP","Pathway","DEgenesInCat"
"28","R-HSA-380994","0.0345","0.9912","5","27","1","ATF4 activates genes in response to endoplasmic reticulum  stress","DCP2::EXOSC7::ATF4::NFYB::EXOSC5"
"29","R-HSA-9614399","0.0352","0.9951","3","11","1","Regulation of localization of FOXO transcription factors","YWHAQ::FOXO3::YWHAZ"
"30","R-HSA-9014325","0.0352","0.9951","3","11","1","TICAM1,TRAF6-dependent induction of TAK1 complex","TAB2::TLR3::UBB"
"31","R-HSA-8953854","0.0384","0.9724","57","657","1","Metabolism of RNA","MPHOSPH10::HNRNPR::USP39::RNPS1::NT5C3B::DCP2::DCP1B::FBL::DNAJC8::EXOSC7::CNOT1::SF3B3::RPL13A::FUS::RPL36::PELP1::LSM1::RRP7A::APOBEC3C::HNRNPF::HNRNPK::ZBTB8OS::NUP88::LSM7::POLR2I::POLR2L::PUS7::GEMIN8::PPP2CA::PPP2R1A::CNOT11::NHP2::NUP133::RIOK2::MAPK11::EXOSC5::PSMD4::SUGP1::RPS5::RPS21::THADA::TRA2B::SKIV2L::SNRPD3::SNRPF::BYSL::U2AF1::UBB::YWHAZ::NOC4L::EDC3::UTP15::LTV1::RRP9::TGS1::EIF4A3::NUP58"
"32","R-HSA-2022854","0.0397","0.9895","5","28","1","Keratan sulfate biosynthesis","B3GNT3::SLC35D2::FMOD::ST3GAL1::B4GALT3"
"33","R-HSA-8866376","0.041","0.9971","2","5","1","Reelin signalling pathway","SH3KBP1::RELN"
"34","R-HSA-9022707","0.041","0.9971","2","5","1","MECP2 regulates transcription factors","MECP2::RBFOX1"
"35","R-HSA-189483","0.041","0.9971","2","5","1","Heme degradation","UGT1A4::BLVRA"
"36","R-HSA-8876384","0.0443","0.9902","4","20","1","Listeria monocytogenes entry into host cells","GRB2::SH3KBP1::UBB::CBLL1"
"37","R-HSA-8851680","0.0446","0.993","3","12","1","Butyrophilin (BTN) family interactions","BTN3A2::BTN3A1::PPL"
"38","R-HSA-9634600","0.0446","0.993","3","12","1","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","PPP2CA::PPP2R1A::PRKACG"
"39","R-HSA-390918","0.0454","0.9875","5","29","1","Peroxisomal lipid metabolism","CRAT::NUDT7::ACOX1::ACOXL::ACOX3"
"40","R-HSA-5654732","0.0454","0.9875","5","29","1","Negative regulation of FGFR3 signaling","GRB2::PPP2CA::PPP2R1A::UBB::FGF17"
"41","R-HSA-1169410","0.0466","0.9796","10","80","1","Antiviral mechanism by IFN-stimulated genes","USP18::JAK1::NUP88::OAS3::PIN1::NUP133::UBB::UBA7::EIF4A3::NUP58"
"42","R-HSA-163841","0.0483","0.9843","6","39","1","Gamma carboxylation, hypusine formation and arylsulfatase activation","DPH1::SUMF2::ARSI::ARSD::FURIN::EIF5A2"
"43","R-HSA-913531","0.0487","0.9719","20","196","1","Interferon Signaling","USP18::GBP4::SAMHD1::HLA-DQB2::IFNA6::IFNA8::IFNGR2::JAK1::NUP88::OAS3::TRIM17::PIN1::NUP133::PTAFR::SP100::UBB::UBA7::EIF4A3::NUP58::TRIM14"
"44","R-HSA-3000157","0.0515","0.9852","5","30","1","Laminin interactions","LAMC3::NID2::LAMB1::LAMB2::NID1"
"45","R-HSA-211000","0.0527","0.9745","12","104","1","Gene Silencing by RNA","PIWIL4::TNRC6B::NUP88::POLR2I::POLR2L::NUP133::XPO5::TNRC6C::TARBP2::H2AC18::H3C12::NUP58"
"46","R-HSA-166058","0.0534","0.975","11","93","1","MyD88-MAL(TIRAP) cascade initiated on plasma membrane","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::SIGIRR::UBB::CD14"
"47","R-HSA-168188","0.0534","0.975","11","93","1","Toll Like Receptor TLR6-TLR2 Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::SIGIRR::UBB::CD14"
"48","R-HSA-1663150","0.0551","0.9904","3","13","1","The activation of arylsulfatases","SUMF2::ARSI::ARSD"
"49","R-HSA-113501","0.0551","0.9904","3","13","1","Inhibition of replication initiation of damaged DNA by RB1 E2F1","POLA2::PPP2CA::PPP2R1A"
"50","R-HSA-1237044","0.0551","0.9904","3","13","1","Erythrocytes take up carbon dioxide and release oxygen","CYB5R1::SLC4A1::CA2"
"51","R-HSA-1480926","0.0551","0.9904","3","13","1","O2 CO2 exchange in erythrocytes","CYB5R1::SLC4A1::CA2"
"52","R-HSA-1169408","0.0572","0.9753","9","72","1","ISG15 antiviral mechanism","USP18::JAK1::NUP88::PIN1::NUP133::UBB::UBA7::EIF4A3::NUP58"
"53","R-HSA-400206","0.0578","0.9706","13","117","1","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","FHL2::NCOA6::RGL1::SIN3A::HMGCR::NFYB::ACOX1::MED15::TBL1X::MED23::MED20::NR1D1::TGS1"
"54","R-HSA-5654733","0.0581","0.9827","5","31","1","Negative regulation of FGFR4 signaling","GRB2::PPP2CA::PPP2R1A::UBB::FGF17"
"55","R-HSA-375280","0.0594","0.9797","6","41","1","Amine ligand-binding receptors","TAAR1::ADRA1A::DRD2::HRH1::HTR1F::HTR5A"
"56","R-HSA-1592230","0.0606","0.971","11","95","1","Mitochondrial biogenesis","NCOA6::GABPA::GABPB1::MICOS10::ATP5F1A::CHCHD3::MAPK11::TBL1X::TMEM11::NR1D1::TGS1"
"57","R-HSA-5654738","0.0615","0.9731","9","73","1","Signaling by FGFR2","GRB2::HNRNPF::POLR2I::POLR2L::PPP2CA::PPP2R1A::TIAL1::UBB::FGF17"
"58","R-HSA-191859","0.0636","0.9756","7","52","1","snRNP Assembly","NUP88::GEMIN8::NUP133::SNRPD3::SNRPF::TGS1::NUP58"
"59","R-HSA-194441","0.0636","0.9756","7","52","1","Metabolism of non-coding RNA","NUP88::GEMIN8::NUP133::SNRPD3::SNRPF::TGS1::NUP58"
"60","R-HSA-6811434","0.0644","0.9689","11","96","1","COPI-dependent Golgi-to-ER retrograde traffic","KIF20A::TUBA1B::KDELR1::TUBA3E::KIF1B::KIF5A::KIF22::NBAS::BNIP1::SURF4::NAPA"
"61","R-HSA-168179","0.0644","0.9689","11","96","1","Toll Like Receptor TLR1-TLR2 Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::SIGIRR::UBB::CD14"
"62","R-HSA-181438","0.0644","0.9689","11","96","1","Toll Like Receptor 2 (TLR2) Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::SIGIRR::UBB::CD14"
"63","R-HSA-2173789","0.0651","0.9799","5","32","1","TGF-beta receptor signaling activates SMADs","NEDD4L::FURIN::UBB::MTMR4::USP15"
"64","R-HSA-456926","0.0651","0.9799","5","32","1","Thrombin signalling through proteinase activated receptors (PARs)","F2R::GNG5::GNG7::GNG13::GNA14"
"65","R-HSA-381042","0.0651","0.9799","5","32","1","PERK regulates gene expression","DCP2::EXOSC7::ATF4::NFYB::EXOSC5"
"66","R-HSA-2672351","0.0666","0.9665","12","108","1","Stimuli-sensing channels","SGK2::CLCN1::ANO4::ANO6::NEDD4L::ASIC1::TRPM4::MCOLN3::WNK1::UBB::TRPV1::TRPA1"
"67","R-HSA-9005891","0.0666","0.9873","3","14","1","Loss of function of MECP2 in Rett syndrome","SIN3A::MECP2::TBL1X"
"68","R-HSA-9005895","0.0666","0.9873","3","14","1","Pervasive developmental disorders","SIN3A::MECP2::TBL1X"
"69","R-HSA-9022534","0.0687","1","1","1","1","Loss of MECP2 binding ability to 5hmC-DNA","MECP2"
"70","R-HSA-5619054","0.0687","1","1","1","1","Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)","SLC4A4"
"71","R-HSA-5579000","0.0687","1","1","1","1","Defective CYP1B1 causes Glaucoma","CYP1B1"
"72","R-HSA-140180","0.0687","1","1","1","1","COX reactions","PTGS1"
"73","R-HSA-975574","0.0687","1","1","1","1","Reactions specific to the hybrid N-glycan synthesis pathway","MGAT3"
"74","R-HSA-171286","0.0687","1","1","1","1","Synthesis and processing of ENV and VPU","FURIN"
"75","R-HSA-5579020","0.0687","1","1","1","1","Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)","SLC35D1"
"76","R-HSA-5619050","0.0687","1","1","1","1","Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)","SLC4A1"
"77","R-HSA-5619089","0.0687","1","1","1","1","Defective SLC6A5 causes hyperekplexia 3 (HKPX3)","SLC6A5"
"78","R-HSA-1855231","0.0687","1","1","1","1","Synthesis of IPs in the ER lumen","MINPP1"
"79","R-HSA-2408552","0.0687","1","1","1","1","Methylation of MeSeH for excretion","INMT"
"80","R-HSA-5602410","0.0687","1","1","1","1","TLR3 deficiency - HSE","TLR3"
"81","R-HSA-3371598","0.0687","1","1","1","1","Defective BTD causes biotidinase deficiency","BTD"
"82","R-HSA-2206280","0.0687","1","1","1","1","MPS IX - Natowicz syndrome","HYAL1"
"83","R-HSA-5579016","0.0687","1","1","1","1","Defective UGT1A4 causes hyperbilirubinemia","UGT1A4"
"84","R-HSA-5662853","0.0687","1","1","1","1","Essential pentosuria","DCXR"
"85","R-HSA-428930","0.069","0.982","4","23","1","Thromboxane signalling through TP receptor","GNG5::GNG7::GNG13::GNA14"
"86","R-HSA-432040","0.0719","0.9741","6","43","1","Vasopressin regulates renal water homeostasis via Aquaporins","GNG5::GNG7::AQP3::MYO5B::GNG13::PRKACG"
"87","R-HSA-9022692","0.0726","0.9768","5","33","1","Regulation of MECP2 expression and activity","TNRC6B::SIN3A::MECP2::TNRC6C::TBL1X"
"88","R-HSA-5654726","0.0726","0.9768","5","33","1","Negative regulation of FGFR1 signaling","GRB2::PPP2CA::PPP2R1A::UBB::FGF17"
"89","R-HSA-69618","0.0743","0.9618","12","110","1","Mitotic Spindle Checkpoint","CENPC::DYNC1I2::CDC26::CENPP::ANAPC11::CDCA8::PPP2CA::PPP2R1A::NUP133::RCC2::CENPH::MIS12"
"90","R-HSA-1655829","0.075","0.97","7","54","1","Regulation of cholesterol biosynthesis by SREBP (SREBF)","NCOA6::HMGCR::NFYB::TBL1X::SEC24C::TGS1::SEC24D"
"91","R-HSA-977068","0.0785","0.9785","4","24","1","Termination of O-glycan biosynthesis","MUC21::MUC6::MUC7::ST3GAL1"
"92","R-HSA-203927","0.0785","0.9785","4","24","1","MicroRNA (miRNA) biogenesis","POLR2I::POLR2L::XPO5::TARBP2"
"93","R-HSA-426496","0.0786","0.9908","2","7","1","Post-transcriptional silencing by small RNAs","TNRC6B::TNRC6C"
"94","R-HSA-9028335","0.0786","0.9908","2","7","1","Activated NTRK2 signals through PI3K","GRB2::NTF4"
"95","R-HSA-9033500","0.0786","0.9908","2","7","1","TYSND1 cleaves peroxisomal proteins","ACOX1::AGPS"
"96","R-HSA-163767","0.0786","0.9908","2","7","1","PP2A-mediated dephosphorylation of key metabolic factors","PPP2CA::PPP2R1A"
"97","R-HSA-9022537","0.0786","0.9908","2","7","1","Loss of MECP2 binding ability to the NCoR SMRT complex","MECP2::TBL1X"
"98","R-HSA-210747","0.0786","0.9908","2","7","1","Regulation of gene expression in early pancreatic precursor cells","NR5A2::NKX6-1"
"99","R-HSA-5617472","0.0789","0.9619","10","88","1","Activation of anterior HOX genes in hindbrain development during early embryogenesis","EGR2::NCOA6::HOXB4::PKNOX1::POLR2I::POLR2L::RARA::H2AC18::H3C12::MAFB"
"100","R-HSA-5619507","0.0789","0.9619","10","88","1","Activation of HOX genes during differentiation","EGR2::NCOA6::HOXB4::PKNOX1::POLR2I::POLR2L::RARA::H2AC18::H3C12::MAFB"
"101","R-HSA-975577","0.0792","0.9836","3","15","1","N-Glycan antennae elongation","MGAT4B::ST8SIA6::B4GALT3"
"102","R-HSA-111447","0.0792","0.9836","3","15","1","Activation of BAD and translocation to mitochondria ","YWHAQ::YWHAH::YWHAZ"
"103","R-HSA-975163","0.0792","0.9836","3","15","1","IRAK2 mediated activation of TAK1 complex upon TLR7 8 or 9 stimulation","TAB2::UBB::CD14"
"104","R-HSA-2162123","0.0792","0.9836","3","15","1","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","PRXL2B::PTGR2::PTGS1"
"105","R-HSA-8875360","0.0792","0.9836","3","15","1","InlB-mediated entry of Listeria monocytogenes into host cell","GRB2::SH3KBP1::UBB"
"106","R-HSA-1638074","0.0805","0.9735","5","34","1","Keratan sulfate keratin metabolism","B3GNT3::SLC35D2::FMOD::ST3GAL1::B4GALT3"
"107","R-HSA-187687","0.0805","0.9735","5","34","1","Signalling to ERKs","CRK::GRB2::MAPK11::RALGDS::RIT2"
"108","R-HSA-5654727","0.0805","0.9735","5","34","1","Negative regulation of FGFR2 signaling","GRB2::PPP2CA::PPP2R1A::UBB::FGF17"
"109","R-HSA-975138","0.0837","0.9592","10","89","1","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7 8 or 9 activation","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB::CD14"
"110","R-HSA-166520","0.0858","0.9563","11","101","1","Signaling by NTRKs","CDK5::CRK::GRB2::NTF3::NTF4::FURIN::PPP2CA::PPP2R1A::MAPK11::RALGDS::RIT2"
"111","R-HSA-9006115","0.0886","0.9746","4","25","1","Signaling by NTRK2 (TRKB)","CDK5::GRB2::NTF3::NTF4"
"112","R-HSA-418592","0.0886","0.9746","4","25","1","ADP signalling through P2Y purinoceptor 1","GNG5::GNG7::GNG13::GNA14"
"113","R-HSA-168181","0.0887","0.9562","10","90","1","Toll Like Receptor 7 8 (TLR7 8) Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB::CD14"
"114","R-HSA-975155","0.0887","0.9562","10","90","1","MyD88 dependent cascade initiated on endosome","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB::CD14"
"115","R-HSA-1810476","0.0927","0.9793","3","16","1","RIP-mediated NFkB activation via ZBP1","NKIRAS2::NFKB2::TLR3"
"116","R-HSA-9614657","0.0927","0.9793","3","16","1","FOXO-mediated transcription of cell death genes","CITED2::FOXO3::NFYB"
"117","R-HSA-937072","0.0927","0.9793","3","16","1","TRAF6-mediated induction of TAK1 complex within TLR4 complex","TAB2::UBB::CD14"
"118","R-HSA-2173791","0.0927","0.9793","3","16","1","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","PARD6A::PARD3::UBB"
"119","R-HSA-450385","0.0927","0.9793","3","16","1","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA","DCP2::EXOSC7::EXOSC5"
"120","R-HSA-450513","0.0927","0.9793","3","16","1","Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA","DCP2::EXOSC7::EXOSC5"
"121","R-HSA-400253","0.0933","0.9579","8","68","1","Circadian Clock","CRY1::NCOA6::RBM4::TBL1X::UBB::NRIP1::NR1D1::TGS1"
"122","R-HSA-1989781","0.0961","0.9484","12","115","1","PPARA activates gene expression","FHL2::NCOA6::RGL1::HMGCR::NFYB::ACOX1::MED15::TBL1X::MED23::MED20::NR1D1::TGS1"
"123","R-HSA-180024","0.0993","0.9703","4","26","1","DARPP-32 events","CDK5::PPP2CA::PPP2R1A::PRKACG"
"124","R-HSA-2173788","0.0993","0.9703","4","26","1","Downregulation of TGF-beta receptor signaling","NEDD4L::UBB::MTMR4::USP15"
"125","R-HSA-6803529","0.0993","0.9703","4","26","1","FGFR2 alternative splicing","HNRNPF::POLR2I::POLR2L::TIAL1"
"126","R-HSA-912694","0.0993","0.9703","4","26","1","Regulation of IFNA signaling","USP18::IFNA6::IFNA8::JAK1"
"127","R-HSA-8948700","0.1002","0.9861","2","8","1","Competing endogenous RNAs (ceRNAs) regulate PTEN translation","TNRC6B::TNRC6C"
"128","R-HSA-9034864","0.1002","0.9861","2","8","1","Activated NTRK3 signals through RAS","GRB2::NTF3"
"129","R-HSA-5576890","0.1002","0.9861","2","8","1","Phase 3 - rapid repolarisation","KCNE3::KCNQ1"
"130","R-HSA-9022702","0.1002","0.9861","2","8","1","MECP2 regulates transcription of neuronal ligands","SIN3A::MECP2"
"131","R-HSA-196836","0.1002","0.9861","2","8","1","Vitamin C (ascorbate) metabolism","CYB5A::SLC23A1"
"132","R-HSA-9012546","0.1002","0.9861","2","8","1","Interleukin-18 signaling","IL13::IL18RAP"
"133","R-HSA-166662","0.1002","0.9861","2","8","1","Lectin pathway of complement activation","COLEC10::MASP2"
"134","R-HSA-389397","0.1002","0.9861","2","8","1","Orexin and neuropeptides FF and QRFP bind to their respective receptors","HCRTR1::QRFP"
"135","R-HSA-1632852","0.1048","0.9466","10","93","1","Macroautophagy","RRAGB::CHMP2A::LAMTOR4::MAP1LC3C::MTERF3::PRKAA1::ATG3::UBB::ATG9A::MTMR3"
"136","R-HSA-5083636","0.107","0.9744","3","17","1","Defective GALNT12 causes colorectal cancer 1 (CRCS1)","MUC21::MUC6::MUC7"
"137","R-HSA-5083625","0.107","0.9744","3","17","1","Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)","MUC21::MUC6::MUC7"
"138","R-HSA-3000171","0.1083","0.9525","7","59","1","Non-integrin membrane-ECM interactions","LAMC3::DAG1::LAMB1::LAMB2::NTN4::TTR::CASK"
"139","R-HSA-6790901","0.1083","0.9525","7","59","1","rRNA modification in the nucleus and cytosol","MPHOSPH10::FBL::RRP7A::NHP2::NOC4L::UTP15::RRP9"
"140","R-HSA-72163","0.1086","0.9337","17","179","1","mRNA Splicing - Major Pathway","HNRNPR::USP39::RNPS1::DNAJC8::SF3B3::FUS::HNRNPF::HNRNPK::LSM7::POLR2I::POLR2L::SUGP1::TRA2B::SNRPD3::SNRPF::U2AF1::EIF4A3"
"141","R-HSA-512988","0.109","0.9558","6","48","1","Interleukin-3, Interleukin-5 and GM-CSF signaling","CRK::CSF2RB::GRB2::JAK1::UBB::YWHAZ"
"142","R-HSA-168138","0.1105","0.9431","10","94","1","Toll Like Receptor 9 (TLR9) Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB::CD14"
"143","R-HSA-141424","0.1105","0.9431","10","94","1","Amplification of signal from the kinetochores","CENPC::DYNC1I2::CENPP::CDCA8::PPP2CA::PPP2R1A::NUP133::RCC2::CENPH::MIS12"
"144","R-HSA-141444","0.1105","0.9431","10","94","1","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","CENPC::DYNC1I2::CENPP::CDCA8::PPP2CA::PPP2R1A::NUP133::RCC2::CENPH::MIS12"
"145","R-HSA-168142","0.1152","0.9426","9","83","1","Toll Like Receptor 10 (TLR10) Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB"
"146","R-HSA-168176","0.1152","0.9426","9","83","1","Toll Like Receptor 5 (TLR5) Cascade","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB"
"147","R-HSA-975871","0.1152","0.9426","9","83","1","MyD88 cascade initiated on plasma membrane","TAB2::FOS::NKIRAS2::NFKB2::PPP2CA::PPP2R1A::MAPK11::PELI2::UBB"
"148","R-HSA-3214815","0.1158","0.9483","7","60","1","HDACs deacetylate histones","SAP18::REST::TBL1X::H2AC18::H3C12::SAP30::MTA2"
"149","R-HSA-1368082","0.1222","0.9688","3","18","1","RORA activates gene expression","NCOA6::TBL1X::TGS1"
"150","R-HSA-5083632","0.1222","0.9688","3","18","1","Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)","MUC21::MUC6::MUC7"
"151","R-HSA-73780","0.1222","0.9688","3","18","1","RNA Polymerase III Chain Elongation","POLR3F::POLR3H::POLR2L"
"152","R-HSA-8964315","0.1222","0.9688","3","18","1","G beta-gamma signalling through BTK","GNG5::GNG7::GNG13"
"153","R-HSA-3295583","0.1223","0.9603","4","28","1","TRP channels","TRPM4::MCOLN3::TRPV1::TRPA1"
"154","R-HSA-1483191","0.1223","0.9603","4","28","1","Synthesis of PC","CHAT::STARD7::LPCAT1::PCYT1B"
"155","R-HSA-202040","0.1223","0.9603","4","28","1","G-protein activation","GNG5::GNG7::OPRM1::GNG13"
"156","R-HSA-8943723","0.1231","0.9802","2","9","1","Regulation of PTEN mRNA translation","TNRC6B::TNRC6C"
"157","R-HSA-9026519","0.1231","0.9802","2","9","1","Activated NTRK2 signals through RAS","GRB2::NTF4"
"158","R-HSA-8876493","0.1231","0.9802","2","9","1","InlA-mediated entry of Listeria monocytogenes into host cells","UBB::CBLL1"
"159","R-HSA-1300642","0.1231","0.9802","2","9","1","Sperm Motility And Taxes","KCNU1::CATSPERG"
"160","R-HSA-1296052","0.1231","0.9802","2","9","1","Ca2+ activated K+ channels","KCNMA1::KCNN3"
"161","R-HSA-110357","0.1231","0.9802","2","9","1","Displacement of DNA glycosylase by APEX1","SMUG1::MBD4"
"162","R-HSA-1247673","0.1231","0.9802","2","9","1","Erythrocytes take up oxygen and release carbon dioxide","SLC4A1::CA2"
"163","R-HSA-6811436","0.1262","0.9467","6","50","1","COPI-independent Golgi-to-ER retrograde traffic","TUBA1B::DCTN6::TUBA3E::DYNC1I2::ACTR10::BICD1"
