"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"11","Kinesins","0.000162074554294976","0.00777138618295824","0.502603113028612","1.90353412345185","0","58","9493::9585::11004::81930::10382::3796::3797::10112::3833::347733::3798::1062::84617::10381::3832::55083::146909::7846::547::7277::147700::56992::84790::24137::9371::29127::55582::11127"
"12","L1CAM interactions","0.000153704272978789","0.00777138618295824","0.503034880355095","2.14012323874462","0","117","163::3915::8506::3688::3912::3678::3897::2596::8828::4478::6335::6328::287::6709::2048::10382::284217::6714::6324::6711::6326::6327::6331::347733::8829::3690::84617::10381::1956::1463::6334::160::7846::7277::84790::8986::6456::7430::24137::71::3672::1759::1459::55800::286::6330::214"
"13","Laminin interactions","0.000172384071711774","0.00777138618295824","0.783444233854814","2.57182141174166","0","30","3339::3915::3688::3908::3912::3909::3675::3918::3655::1282::3914::80781::1288::1284::3911::284217::4811::3691::1287::1285::1286::10319::3910::3672"
"14","MET activates PTK2 signaling","0.000172384071711774","0.00777138618295824","0.773617462849001","2.53956295735662","0","30","3915::3688::3908::3912::3909::3675::1301::3918::3914::4233::1278::3911::2335::284217::6714::85301::1290::1277::1289::10319::3910::1281"
"15","Mitotic Prometaphase","0.00014573010784028","0.00777138618295824","0.471694046320523","2.15577949296759","0","195","29922::9918::22897::332::22919::10403::7514::11004::9793::151246::10592::699::81930::991::10382::3796::2491::22981::10051::891::1780::54908::55125::64105::23279::121441::57122::203068::983::9183::5528::347733::1778::54821::1062::84617::10381::5048::1639::64151::80776::81929::79959::83540::4928::9212::23354::4751::7846::55835::7277::84790::11064::55143::23397::7840::10274::1459::57405::10733::701::9702::79980::9738::10121::1063::80184::4085::55746::23421::9735::80321::9662::113130::79023::10844::5347::3619::64946::11190::5518::11116::5529::9133::1457::51807::23063::57551::22994::5519::1460::55055::22995"
"16","Muscle contraction","0.000144613159797542","0.00777138618295824","0.43618838978487","2.0067186118355","0","208","800::30820::10398::4633::2259::59285::859::782::7094::7134::53826::301::302::5348::6335::7169::7220::53822::6328::4882::4638::4881::6546::25937::3759::2256::6324::10174::7431::2281::3768::59284::3761::6326::7138::30818::6327::6331::4634::23630::80228::493::59283::6261::4635::4880::10368::5829::25802::815::6334::483::490::4621::59::29767::8291::3750::781::10060::3672::1482::29895::10089::1674::55800::80333::6588::6330::7168::3693::10008::7137::4632::140465::29098::89::70::486::4607::6263::6332"
"17","Non-integrin membrane-ECM interactions","0.000162311313098523","0.00777138618295824","0.708691434914226","2.69020041248381","0","59","3339::7040::3915::87::3688::3908::3912::3909::1301::3918::3655::1282::3914::1288::1278::1284::3911::2247::2335::284217::7057::6385::3690::1605::59277::1290::375790::3691::1287::5578::1285::1286::1277::7448::1289::10319::3910"
"18","Plasma lipoprotein assembly, remodeling, and clearance","0.000160771704180064","0.00777138618295824","0.468619176183294","1.82583282424674","0","68","163::348::4864::341::5360::346::3988::8029::344::335::6646::649::8435::5045::19::9388::160::3931::949::255738::29801::57552"
"19","Post-translational protein phosphorylation","0.000154083204930663","0.00777138618295824","0.517234524125141","2.17631971209224","0","108","10232::3490::4240::3915::348::3912::7184::3491::2621::91851::10130::10272::10970::10618::3569::147111::2519::2335::335::1000::84141::652::3895::4241::7076::5589::1435::5954::4148::7857::10117::4924::11167::5624::1462::258::2200::11098::334::351::255738::718::8404::2266::6696::1114::2719::3053::54587::6694::1471::3956::51246::3827::51280::8542::813"
"20","Signaling by PDGF","0.000162074554294976","0.00777138618295824","0.502541011794656","1.90329892431583","0","58","1291::1282::1292::1299::5327::1284::1297::7057::6714::1290::5045::1287::5921::1285::1286::1289::5159::6772::4893::56034::6696::1281::5335::4690::7060::7058::7059::6776"
"21","Signaling by Receptor Tyrosine Kinases","0.000128485159964024","0.00777138618295824","0.305734368010082","1.52937393517385","0","471","558::163::857::4909::1839::2241::3915::3688::348::3908::3912::3909::3675::1291::1301::2534::10000::6678::3918::1282::3084::30849::8828::3914::2250::1292::1299::4233::64759::3932::1278::5327::1284::6868::3911::627::2246::2247::2335::1499::23543::9982::1297::284217::7057::6714::23768::4803::2963::8817::8851::867::5771::30011::23385::83737::5528::4067::8829::3690::85301::1290::10253::4908::4688::5045::5228::127124::1956::10019::116::8651::1849::5829::7409::9475::1287::6300::5921::5578::1285::160::1286::9047::245972::26281::53834::10152::1277::4205::85440::7039::1793::6456::4318::8027::1289::10319::5159::71::4486::6772::3910::1536::4893::56034::4686::1759::4846::6696::1281::7529::10458::9365::2277::5289::1845::7525::3925::8038::2263::1495::84951::2321::6457::253260::1111::5800::4208::5335::2261::2069::4690::7060::63916::3685::5518::8065::161742::1500::1729::2323::7058::7059::5063::5519::3481::9846::3083::7867::5795::8936::6776::26052::3178::117::102::5908::2253::5058::5725::7423::10750"
"22","Cristae formation","0.000239923224568138","0.00801278582303324","-0.64888064800105","-2.28535251234055","0","31","4580::522::9551::509::521::54927::518::440574::515::506::139322::10651::3313::125988::516::514::539::79135::55735::517::10476::513::498::4509"
"23","Estrogen-dependent gene expression","0.000287686996547756","0.00801278582303324","-0.39488572368282","-1.8184009252385","0","118","3169::4602::4435::2288::7033::3727::8338::7031::10499::3020::5437::333932::8337::7391::7090::8363::5439::5241::2958::596::8365::128312::57690::5440::8204::2099::55766::8349::6387::2625::9687::51523::7764::23030::653604::8312::5441::23112::8356::2957::3015::9166::5433::6667::7392"
"24","HDACs deacetylate histones","0.000263157894736842","0.00801278582303324","-0.506617809497982","-2.06341644512337","0","60","8338::10362::23186::51742::333932::8337::57459::8363::51317::8819::92815::8365::128312::8349::10284::317772::54815::6907::9112::653604::57504::8356::9219::79718::85236::64426::440689::8334::2874::8341::1107::255626"
"25","Interferon Signaling","0.000291375291375291","0.00801278582303324","0.362294179621073","1.65636849383067","1","196","2316::9688::4281::25939::3439::960::2317::55706::9972::3105::9818::23279::5771::10107::8021::9021::57122::3839::3443::79097::3434::3837::8651::3383::815::81929::3440::4928::3446::6672::3437::115362::3106::9246::5696::23650::81603::51191::5610::3133::5371::3433::3456::6772::10475::2633::8554::23636::3840::9631::3134::55746::3135::79023::567::8519::5335::117854::4684::3460::7706::6059::115361::5724::4600::85363::1958::7175::9636::2537::10410::3447::3442::23511::1974::3659::3445::3441::3127"
"26","Mitochondrial protein import","0.00026089225150013","0.00801278582303324","-0.650598670432044","-2.66605395936794","0","61","197257::2671::150274::1537::388753::10063::4580::84269::50::51025::51142::56942::54927::400916::26515::10440::131118::54543::9868::26517::506::134266::10651::3421::3313::516::9512::10469::131474::26519::80273::56993::26521::617::6901::51287"
"27","Mitochondrial translation","0.000275633958103638","0.00801278582303324","-0.516021373069527","-2.28126643246722","0","92","65993::64975::128308::64981::64949::54148::63931::64432::51650::65005::55052::116541::64983::60488::51264::63875::29088::54998::79590::7818::64963::92259::28957::28998::90480::116540::64976::51081::26589::10573::92399::3396::740::5018::6150::6182::219402"
"28","RAB geranylgeranylation","0.000261917234154007","0.00801278582303324","-0.461882431789532","-1.91192448193161","0","64","5864::5874::83452::25837::53917::57799::5862::376267::53916::5872::9367::5878::8766::326624::10890::5875::84932::8934::5867::57403::81876::22931::4218::5869::401409::5861::5870::8073::11021::339122::9545::23011::51552"
"29","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","0.000292226767971946","0.00801278582303324","-0.622685060773413","-2.87478582528006","0","122","4698::4697::4716::4708::4700::1537::29796::4707::522::1329::4706::4696::4731::374291::4717::6391::2110::2109::51079::9551::4694::509::1345::1349::7388::4722::4702::84987::521::4701::4695::137682::518::285521::80219::1351::1327::51204::116228::54205::1337::51103::2108::27089::4713::4711::4719::515::4720::506::4709::4710::1350::6390::10975::516::7381::6389::55967::1340::4729::6834::79133::9167::514::539::4705::51241"
"30","Platelet degranulation ","0.000302023557837511","0.00813591856022448","0.39185966460502","1.69301609092638","1","128","7040::5345::6403::87::710::135228::2621::10257::2316::6678::3309::7042::7094::81::2335::5552::7057::23052::7078::335::5627::5054::3690::7076::22927::3920::259215::1521::334::351::9749::5660::7277::66005::3273::2266::10447::1893::2277::54863::6694::3671::3827::813::5919::2157::7273::3481::7414::7423::54495::308::1::2243::3959::5768::22915::7873::88::54676::2244"
"31","Protein localization","0.000304043782304652","0.00813591856022448","-0.508580458167471","-2.45884471687601","0","160","197257::8799::2671::150274::1537::388753::10063::51024::4580::51608::84269::5191::8309::8310::439::50::91452::3417::51025::83752::51142::6342::56942::373156::5824::54927::8266::1891::400916::26515::26063::10440::23417::5189::23480::5827::131118::54543::5194::10478::189::9868::26517::506::134266::122970::30::10651::3421::224::7485::51268::3313::516::390916::9512::23600::10901::3295::10469::847::131474::4358::55670::8528::118424::54332::27230::10965::26519::9409::80273::56993::26521::617::1384::6901::51287"
"32","Fatty acid metabolism","0.000313185092389602","0.00818334223761537","-0.374113390966461","-1.82514618629352","0","174","1622::84693::11283::11000::1632::2194::6576::2678::8309::4706::127281::8310::91452::1376::3033::166785::1375::84320::1580::6342::6256::641372::2166::26063::2180::2879::23417::247::126410::10478::284486::122970::134526::30::7069::641371::224::1579::9261::390916::23600::1544::3295::27349::2687::6584::158584::117145::145482::23305::80724::10965::1892::55856::5446::2181::8529::246::1384::5467::80142::1374::5096::54898::23205"
"33","The citric acid (TCA) cycle and respiratory electron transport","0.00031201248049922","0.00818334223761537","-0.557238073033255","-2.71770715213635","0","173","4698::4697::3418::3029::4716::4708::4700::1537::29796::728294::4707::522::1329::4706::4696::51660::4731::374291::50::8802::4717::6391::2110::2109::51079::9551::4694::3948::509::1345::6256::1349::7388::4722::4702::84987::521::4701::4695::2271::137682::518::285521::81889::80219::2954::5165::1351::8801::1327::51204::1738::116228::54205::1337::51103::2108::27089::4713::4711::4719::515::4191::8050::4720::506::4709::4710::3421::1350::6390::137872::25874::10975::1743::516::7381::6389::55967::1340::4729::6834::79133::9167::514::539::4705::51241::3419::23539"
"34","Biological oxidations","0.000326157860404436","0.00832639779262358","-0.319575537010363","-1.60764766303655","0","215","10380::79017::9::11283::1549::1312::7367::2052::22977::246181::2678::2940::6817::1548::4548::1571::1595::124975::10499::8574::1580::6256::373156::10327::116285::2949::79094::2954::445329::1584::10::7172::8824::55902::131::5447::126410::29104::7358::1585::10861::7366::1579::10858::120227::1553::1544::1576::2947::2687::6783::6820::1589::95::2729::2948::55748::54577::6799::2939::4257::874::8529::653689"
"35","Gap junction assembly","0.000338983050847458","0.00845934107788993","0.612796212197182","2.07559803403876","1","34","2707::10382::57165::2700::347733::84617::10381::375519::10804::2706::2697::10052::7846::127534::7277::84790"
"36","Scavenging by Class A Receptors","0.000352982703847511","0.00871082872494803","0.721757077878103","2.11709155217174","1","19","348::7184::1282::1278::1284::811::335::2512::117156::1277::5648::1281"
"37","Translation","0.000367242012486228","0.00886570119273819","-0.373729297206272","-1.94121904340617","0","289","65993::64975::128308::64981::6727::64949::8893::90701::54148::63931::64432::6132::6726::23438::51650::65005::23480::16::55052::116541::64983::6171::60488::51264::63875::29088::54998::80222::51065::27068::29104::1917::2193::1936::79590::7818::64963::92259::6231::6218::28957::28998::6168::6156::6232::8669::90480::6160::6728::6301::11224::27335::6137::6133::6187::116540::1977::64976::8890::6122::51081::55699::26589::10573::92399::3396::6224::6129::740::6209::4677::5018::6194::6150::6147::6182::219402::6208::6169::92935::8667::6136::2935::6234::28972::65080::6181::6189::7311::6170::9255::6729::25873::6210::6134::1983::11222::6146::1938::6142::51263::10952::51504::28977::6167::327::2058::58477::51373::64979::6139::6228::6731::6235::7453::6183::51023::116832::1967::6166::1933::118487::6203::1968::6165::6173"
"38","Metabolism of amino acids and derivatives","0.00040371417036738","0.00953882098282926","-0.360274710886073","-1.92643230952301","0","368","51686::6898::2936::51380::84245::6821::22928::23464::25828::4329::1159::79048::4548::4706::8564::3242::65263::122706::8942::374569::1728::2346::1733::387787::7173::5831::8659::435::58472::56922::7263::2875::2954::57407::6132::548596::1738::5827::5721::8424::3028::6538::1468::438::6171::219595::130013::29920::189::8050::64087::5715::5693::27232::51065::113675::26227::3081::51091::51074::5723::383::85007::223::51268::6231::6218::549::6168::6156::6232::5687::1743::10247::389434::347735::3176::593::1644::4357::6160::6301::11224::6137::6133::5686::6187::5710::5711::83884::8528::2747::6122::2639::5692::1081::6224::6528::6129::6209::5053::5699::445::6194::5160::89874::5713::58478::7306::64902::57571::36::6147::6208::6169::11019::6136::5625::6234::3712::6181::11185::84706::256987::5705::6189::7299::7311::6170::5701::9255::25873::6210::6134::5720::6146::60678::9861::6142::5695::5700::7979::6167::10993"
"39","G alpha (q) signalling events","0.000432525951557093","0.0101120014569295","0.355790796412233","1.64335470493885","2","215","1839::5999::257313::1607::64106::2769::7204::54331::301::57121::84109::6375::3269::2840::431704::94233::147::1606::5737::552::2520::4922::1902::1906::64407::2790::2925::10125::353299::3358::1956::2793::553::1608::6915::2864::10235::5578::351::846::2784::7222::10874::747::2358::5588::2862::2150::7201::2922::9162::2641::10911::1910::5021::2149::84634::4829::886::55970::2791::115557::4893::3814::5028::59345::6846::10681::23566::2869::2796::128674::2151::29933::2863::4828::3827::185::5330::8526::5996::680::887::2792"
"40","Degradation of cysteine and homocysteine","0.000450856627592426","0.0102457645688452","-0.721741604130862","-2.04445644803629","1","14","51380::6821::25828::58472::7263::1468::4357"
"41","Nuclear Pore Complex (NPC) Disassembly","0.000503186850050319","0.0103862701084923","0.577628312866417","1.97238401217696","2","35","9688::140609::891::55706::9972::9818::23279::8021::57122::983::81929::4928::91754::23636::9631::55746::79023::9133::7175"
"42","O-glycosylation of TSR domain-containing proteins","0.000505050505050505","0.0103862701084923","0.56165088437781","1.93891101143871","2","37","145173::140766::11174::54507::170690::9719::7057::81794::92949::9508::81792::11095::11173::170692::23275::80070::56999::55901::339366"
"43","Rab regulation of trafficking","0.000575871004894904","0.0115226081249692","-0.355755022480577","-1.64101480227246","1","119","5864::5874::207::83452::83874::9909::57465::26088::83696::126003::5872::27342::125058::9367::55667::79961::5878::8766::6399::8408::2664::10890::9135::51693::5867::79090::163486::81876::79958::22931::4218::5869::128637::5861::80006::5870::374403::126432::22879::221960::11021::84315::11345::23011::122553::51552"
"44","Base-Excision Repair, AP Site Formation","0.000746454341876089","0.0140497889263288","-0.506632354165976","-1.8888178053699","2","39","54386::8338::8337::8290::8363::26277::8365::128312::4350::55766::8349::4913::23583::3015::8930::85236::7014::8334::8341::255626::25913::8347"
"45","Aflatoxin activation and detoxification","0.000922509225092251","0.0161330156608653","-0.633522006020125","-1.95991035911568","3","19","22977::246181::2678::124975::8574::1553::1544::1576::2687::95::4257"
"46","Metabolism of cofactors","0.000917431192660551","0.0161330156608653","-0.64561975053984","-2.03939508254805","3","20","207::2644::57017::801::51004::3417::2643::10229::6697::84274"
"47","Amino acids regulate mTORC1","0.00101677681748856","0.0162464842564179","-0.449149138778106","-1.79807541735975","3","54","9296::652968::533::9114::9550::28956::64223::527::8649::10542::155066::51606::27244::389541::9681::144577::8131::84219"
"48","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","0.00121083699107008","0.0182943466473921","0.371296441083599","1.59687713626236","7","124","5817::3688::7087::1278::1308::926::933::79465::3105::56253::23547::4345::79865::3383::3804::57823::3689::1277::718::131450::3676::3106::925::196500::3133::135250::10225::9437::10990::114132::975::958::1281::3802::3384::27181::126014::3134::10666::3135::567::8519::100507436::3824::946"
"49","Signaling by TGF-beta family members","0.00124513618677043","0.0186792484567123","0.38907519663654","1.61810675912447","7","101","7040::64750::91851::10272::7514::9241::7321::94::23370::25937::7048::6498::650::23645::4088::23439::867::60436::5054::7046::56288::5045::4093::5933::11167"
"50","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","0.00192408605912192","0.0262171480816551","0.584594791271151","1.83422939056343","10","25","3309::6891::811::51752::3105::10484::10427::22872::2923::64167::3106::3133::821::3134::3135::567"
"51","Activation of gene expression by SREBF (SREBP)","0.00200501253132832","0.0271532489760988","-0.470351187844297","-1.76831168965668","7","41","9453::2194::10654::1595::10499::6256::6720::4598::7108::3422::4801::6907::2224::4597::4520::6667::79718::4047"
"52","Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ","0.00216279984270547","0.0288057673390307","-0.999141244786129","-1.32960104061815","10","1","79644"
"53","Signaling by Hippo","0.00248138957816377","0.0320416642622194","0.616812000124987","1.82853744510195","13","20","26524::6789::25937::154810::51421::7529::92597::55233::7082::7531::9113::60485::9414::1856"
"54","Glutathione synthesis and recycling","0.00265604249667995","0.0338268960757716","-0.687551649069717","-1.86429115400131","11","12","79017::2678::124975::79094::2687::2729::55748"
"55","Endosomal Sorting Complex Required For Transport (ESCRT)","0.00287907869481766","0.0359237852875844","-0.515840284807177","-1.81678540496193","11","31","51160::10254::27183::51510::11267::29082::55048::51271::27243::93343::9525::84313::7311::137492::91782::51028::7251::7316"
"56","RSK activation","0.00321957501609787","0.0388623701671379","-0.806704078188074","-1.83321204918188","14","7","27330::5170::5595"
"57","Interleukin-6 family signaling","0.00351123595505618","0.0414811439158499","0.572357568356047","1.77820808734316","19","24","1489::133396::23529::3976::3569::867::9021::9180::386653::6772::3572"
"58","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","0.00449155587495508","0.0491416039323904","0.657873209513175","1.78151304578655","24","14","2534::5361::7094::6237::10371::8829"
